11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_DebugOn(): runtime trace is ON now. (brom_debug.cpp:150)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: ================================================================================================================================== (brom.cpp:1002)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_GetDLLInfo(): BROM_DLL_v3.949.10.05 [Patch-Build](Release Version)                                                                       (brom.cpp:1003)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2034) S_BROM_CMD_SEND_DA_CHKSUM_DIFF                     (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2035) S_BROM_CMD_JUMP_DA_FAIL                            (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2036) S_BROM_CMD_JUMP_BL_FAIL                            (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3000) S_DA_INT_RAM_ERROR                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3001) S_DA_EXT_RAM_ERROR                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3002) S_DA_SETUP_DRAM_FAIL                               (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3003) S_DA_SETUP_PLL_ERR                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3004) S_DA_DRAM_NOT_SUPPORT                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3005) S_DA_RAM_FLOARTING                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3006) S_DA_RAM_UNACCESSABLE                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3007) S_DA_RAM_ERROR                                     (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3008) S_DA_DEVICE_NOT_FOUND                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3009) S_DA_NOR_UNSUPPORTED_DEV_ID                        (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3010) S_DA_NAND_UNSUPPORTED_DEV_ID                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3011) S_DA_NOR_FLASH_NOT_FOUND                           (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3012) S_DA_NAND_FLASH_NOT_FOUND                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3013) S_DA_SOC_CHECK_FAIL                                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3014) S_DA_NOR_PROGRAM_FAILED                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3015) S_DA_NOR_ERASE_FAILED                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3016) S_DA_NAND_PAGE_PROGRAM_FAILED                      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3017) S_DA_NAND_SPARE_PROGRAM_FAILED                     (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3018) S_DA_NAND_HW_COPYBACK_FAILED                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3019) S_DA_NAND_ERASE_FAILED                             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3020) S_DA_TIMEOUT                                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3021) S_DA_IN_PROGRESS                                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3022) S_DA_SUPERAND_ONLY_SUPPORT_PAGE_READ               (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3023) S_DA_SUPERAND_PAGE_PRGRAM_NOT_SUPPORT              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3024) S_DA_SUPERAND_SPARE_PRGRAM_NOT_SUPPORT             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3025) S_DA_SUPERAND_COPYBACK_NOT_SUPPORT                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3026) S_DA_NOR_CMD_SEQUENCE_ERR                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3027) S_DA_NOR_BLOCK_IS_LOCKED                           (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3028) S_DA_NAND_BLOCK_IS_LOCKED                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3029) S_DA_NAND_BLOCK_DATA_UNSTABLE                      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3030) S_DA_NOR_BLOCK_DATA_UNSTABLE                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3031) S_DA_NOR_VPP_RANGE_ERR                             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3032) S_DA_INVALID_BEGIN_ADDR                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3033) S_DA_NOR_INVALID_ERASE_BEGIN_ADDR                  (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3034) S_DA_NOR_INVALID_READ_BEGIN_ADDR                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3035) S_DA_NOR_INVALID_PROGRAM_BEGIN_ADDR                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3036) S_DA_INVALID_RANGE                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3037) S_DA_NOR_PROGRAM_AT_ODD_ADDR                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3038) S_DA_NOR_PROGRAM_WITH_ODD_LENGTH                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3039) S_DA_NOR_BUFPGM_NO_SUPPORT                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3040) S_DA_NAND_UNKNOWN_ERR                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3041) S_DA_NAND_BAD_BLOCK                                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3042) S_DA_NAND_ECC_1BIT_CORRECT                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3043) S_DA_NAND_ECC_2BITS_ERR                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3044) S_DA_NAND_SPARE_CHKSUM_ERR                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3045) S_DA_NAND_HW_COPYBACK_DATA_INCONSISTENT            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3046) S_DA_NAND_INVALID_PAGE_INDEX                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3047) S_DA_NFI_NOT_SUPPORT                               (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3048) S_DA_NFI_CS1_NOT_SUPPORT                           (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3049) S_DA_NFI_16BITS_IO_NOT_SUPPORT                     (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3050) S_DA_NFB_BOOTLOADER_NOT_EXIST                      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3051) S_DA_NAND_NO_GOOD_BLOCK                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3052) S_DA_BOOTLOADER_IS_TOO_LARGE                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3053) S_DA_SIBLEY_REWRITE_OBJ_MODE_REGION                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3054) S_DA_SIBLEY_WRITE_B_HALF_IN_CTRL_MODE_REGION       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3055) S_DA_SIBLEY_ILLEGAL_CMD                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3056) S_DA_SIBLEY_PROGRAM_AT_THE_SAME_REGIONS            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3057) S_DA_UART_GET_DATA_TIMEOUT                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3058) S_DA_UART_GET_CHKSUM_LSB_TIMEOUT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3059) S_DA_UART_GET_CHKSUM_MSB_TIMEOUT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3060) S_DA_UART_DATA_CKSUM_ERROR                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3061) S_DA_UART_RX_BUF_FULL                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3062) S_DA_FLASH_RECOVERY_BUF_NOT_ENOUGH                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3063) S_DA_HANDSET_SEC_INFO_NOT_FOUND                    (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3064) S_DA_HANDSET_SEC_INFO_MAC_VERIFY_FAIL              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3065) S_DA_HANDSET_ROM_INFO_NOT_FOUND                    (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3066) S_DA_HANDSET_FAT_INFO_NOT_FOUND                    (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3067) S_DA_OPERATION_UNSUPPORT_FOR_NFB                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3068) S_DA_BYPASS_POST_PROCESS                           (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3069) S_DA_NOR_OTP_NOT_SUPPORT                           (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3070) S_DA_NOR_OTP_EXIST                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3071) S_DA_NOR_OTP_LOCKED                                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3072) S_DA_NOR_OTP_GETSIZE_FAIL                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3073) S_DA_NOR_OTP_READ_FAIL                             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3074) S_DA_NOR_OTP_PROGRAM_FAIL                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3075) S_DA_NOR_OTP_LOCK_FAIL                             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3076) S_DA_NOR_OTP_LOCK_CHECK_STATUS_FAIL                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3077) S_DA_BLANK_FLASH                                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3078) S_DA_CODE_AREA_IS_BLANK                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3079) S_DA_SEC_RO_AREA_IS_BLANK                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3080) S_DA_NOR_OTP_UNLOCKED                              (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3081) S_DA_UNSUPPORTED_BBCHIP                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3082) S_DA_FAT_NOT_EXIST                                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3083) S_DA_EXT_SRAM_NOT_FOUND                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3084) S_DA_EXT_DRAM_NOT_FOUND                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3085) S_DA_MT_PIN_LOW                                    (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3086) S_DA_MT_PIN_HIGH                                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3087) S_DA_MT_PIN_SHORT                                  (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3088) S_DA_MT_BUS_ERROR                                  (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3089) S_DA_MT_ADDR_NOT_2BYTE_ALIGNMENT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3090) S_DA_MT_ADDR_NOT_4BYTE_ALIGNMENT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3091) S_DA_MT_SIZE_NOT_2BYTE_ALIGNMENT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3092) S_DA_MT_SIZE_NOT_4BYTE_ALIGNMENT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3093) S_DA_MT_DEDICATED_PATTERN_ERROR                    (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3094) S_DA_MT_INC_PATTERN_ERROR                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3095) S_DA_MT_DEC_PATTERN_ERROR                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3096) S_DA_NFB_BLOCK_0_IS_BAD                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3097) S_DA_CUST_PARA_AREA_IS_BLANK                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3098) S_DA_ENTER_RELAY_MODE_FAIL                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3099) S_DA_ENTER_RELAY_MODE_IS_FORBIDDEN_AFTER_META      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3100) S_DA_NAND_PAGE_READ_FAILED                         (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3101) S_DA_NAND_IMAGE_BLOCK_NO_EXIST                     (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3102) S_DA_NAND_IMAGE_LIST_NOT_EXIST                     (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3103) S_DA_MBA_RESOURCE_NO_EXIST_IN_TARGET               (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3104) S_DA_MBA_PROJECT_VERSION_NO_MATCH_WITH_TARGET      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3105) S_DA_MBA_UPDATING_RESOURCE_NO_EXIST_IN_TARGET      (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3106) S_DA_MBA_UPDATING_RESOURCE_SIZE_EXCEED_IN_TARGET   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3107) S_DA_NAND_BIN_SIZE_EXCEED_MAX_SIZE                 (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3108) S_DA_NAND_EXCEED_CONTAINER_LIMIT                   (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3109) S_DA_NAND_REACH_END_OF_FLASH                       (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3110) S_DA_NAND_OTP_NOT_SUPPORT                          (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3111) S_DA_NAND_OTP_EXIST                                (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3112) S_DA_NAND_OTP_LOCKED                               (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3113) S_DA_NAND_OTP_LOCK_FAIL                            (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3114) S_DA_NAND_OTP_UNLOCKED                             (brom.cpp:705)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (3115) S_DA_OTP_NOT_SUPPORT                               (brom.cpp:705)
